source_bas_dt,ticker,corp_code,bsns_year,reprt_code,fs_div,revenue,operating_income,net_income,equity,total_assets,source,updated_at
20250401,000010,149293,2024,11011,CFS,8837037000000.0,-1369718000000.0,3695913000000.0,36764735000000.0,556691161000000.0,opendart,2026-05-18T14:18:34+09:00
20260401,000010,149293,2025,11011,CFS,9169889000000.0,-1483331000000.0,3775822000000.0,38453745000000.0,596967318000000.0,opendart,2026-05-18T14:32:08+09:00
20250401,000020,119195,2024,11011,CFS,464874735245.0,13411192945.0,2146096510.0,401675120174.0,619634925512.0,opendart,2026-05-18T14:18:34+09:00
20260401,000020,119195,2025,11011,CFS,496394309778.0,256752681.0,3842369985.0,401439663390.0,642168098413.0,opendart,2026-05-18T14:32:08+09:00
20250401,000040,112378,2024,11011,CFS,16024969823.0,-4937030424.0,-14222283251.0,32642815777.0,85272527872.0,opendart,2026-05-18T14:18:34+09:00
20260401,000040,112378,2025,11011,CFS,13820791334.0,-2891596054.0,-1895969813.0,43672331167.0,94195951474.0,opendart,2026-05-18T14:32:08+09:00
20250401,000050,101628,2024,11011,CFS,397276756397.0,33449462550.0,23594327570.0,759626462484.0,1214347475924.0,opendart,2026-05-18T14:18:34+09:00
20260401,000050,101628,2025,11011,CFS,412475877463.0,45993453219.0,47379145951.0,811826797534.0,1255644259736.0,opendart,2026-05-18T14:32:08+09:00
20250401,000070,126937,2024,11011,CFS,3553264096673.0,127538574846.0,89491916474.0,2998088452026.0,5290507469287.0,opendart,2026-05-18T14:18:34+09:00
20260401,000070,126937,2025,11011,CFS,3348286833611.0,108765726889.0,-298132876106.0,2652535097234.0,5272055814759.0,opendart,2026-05-18T14:32:08+09:00
20250401,000080,150244,2024,11011,CFS,2599183408023.0,208141871425.0,95735005249.0,1149495697352.0,3441538598928.0,opendart,2026-05-18T14:32:08+09:00
20260401,000080,150244,2025,11011,CFS,2498566821284.0,172338670998.0,41117248572.0,1142138785882.0,3272507702370.0,opendart,2026-05-18T14:32:08+09:00
20250401,000100,145109,2024,11011,CFS,2067791451854.0,54880319609.0,55163455235.0,2150670010559.0,2942048836634.0,opendart,2026-05-18T14:32:08+09:00
20260401,000100,145109,2025,11011,CFS,2186637586358.0,104374493823.0,185318996567.0,2362284335746.0,3220925833989.0,opendart,2026-05-18T14:32:08+09:00
20250401,000110,148504,2024,11011,CFS,1232141000000.0,22266000000.0,331110000000.0,5581170000000.0,85840870000000.0,opendart,2026-05-18T14:32:08+09:00
20260401,000110,148504,2025,11011,CFS,1207622000000.0,29926000000.0,141477000000.0,5450813000000.0,92278056000000.0,opendart,2026-05-18T14:32:08+09:00
20250401,000120,113410,2024,11011,CFS,12116761147160.0,530663067133.0,268320297629.0,4225599854802.0,9743855522383.0,opendart,2026-05-18T14:32:08+09:00
20260401,000120,113410,2025,11011,CFS,12284652471280.0,508080820628.0,258742959823.0,4439637704423.0,10339205686286.0,opendart,2026-05-18T14:32:08+09:00
20250401,000140,148993,2024,11011,CFS,2585068710459.0,221794886726.0,90773142637.0,1154414666187.0,4077443964617.0,opendart,2026-05-18T14:32:08+09:00
20260401,000140,148993,2025,11011,CFS,2484504029642.0,183252663765.0,15886630802.0,1140161316659.0,3908162305446.0,opendart,2026-05-18T14:32:08+09:00
20250401,000150,117212,2024,11011,CFS,18132874000000.0,1003759000000.0,302227000000.0,11889482000000.0,30143063000000.0,opendart,2026-05-18T14:32:08+09:00
20260401,000150,117212,2025,11011,CFS,19784138000000.0,1062715000000.0,249511000000.0,12234321000000.0,32927788000000.0,opendart,2026-05-18T14:32:08+09:00
20250401,000180,133335,2024,11011,CFS,143105590875.0,-7293464621.0,-3623156326.0,578374605374.0,719893318041.0,opendart,2026-05-18T14:32:08+09:00
20260401,000180,133335,2025,11011,CFS,127218274093.0,-6928127999.0,-20640100656.0,677384427460.0,861188044244.0,opendart,2026-05-18T14:32:08+09:00
20250401,000210,109693,2024,11011,CFS,5615368498981.0,412518392958.0,94839002886.0,4786090727143.0,12535315407584.0,opendart,2026-05-18T14:32:08+09:00
20260401,000210,109693,2025,11011,CFS,5326721292281.0,298546039560.0,-96298295176.0,4921075694028.0,12182144221519.0,opendart,2026-05-18T14:32:08+09:00
20250401,000220,144818,2024,11011,CFS,133147218082.0,11697341742.0,10289303485.0,135063350825.0,207687399005.0,opendart,2026-05-18T14:32:08+09:00
20260401,000220,144818,2025,11011,CFS,140884666972.0,11019185739.0,9116733726.0,140543964496.0,207223189486.0,opendart,2026-05-18T14:32:08+09:00
20250401,000230,146083,2024,11011,CFS,657566885958.0,-2411599959.0,55583181698.0,253998132129.0,854701442970.0,opendart,2026-05-18T14:32:08+09:00
20260401,000230,146083,2025,11011,CFS,590889546403.0,14925169646.0,21573192487.0,345579807084.0,802861393964.0,opendart,2026-05-18T14:32:08+09:00
20250401,000240,160047,2024,11011,CFS,1390995724547.0,418268299588.0,350713050064.0,4452873418433.0,5136426181879.0,opendart,2026-05-18T14:32:08+09:00
20260401,000240,160047,2025,11011,CFS,1457551700261.0,411626236474.0,347229288109.0,4781079225610.0,5259624597652.0,opendart,2026-05-18T14:32:08+09:00
