source_bas_dt,ticker,per,pbr,dividend_yield,bps,eps,dps,source,updated_at
20260130,000010,206.21,17.05,0.09,2044.0,169.0,32.0,pykrx-krx,2026-05-18T14:18:34+09:00
20260227,000010,128.11,10.59,0.15,2044.0,169.0,32.0,pykrx-krx,2026-05-18T14:18:34+09:00
20260331,000010,96.75,8.0,0.2,2044.0,169.0,32.0,pykrx-krx,2026-05-18T14:18:34+09:00
20260430,000010,111.36,9.21,0.17,2044.0,169.0,32.0,pykrx-krx,2026-05-18T14:18:34+09:00
20260507,000010,82.0,8.61,0.0,2381.0,250.0,0.0,pykrx-krx,2026-05-18T14:18:34+09:00
20260508,000010,80.4,8.44,0.0,2381.0,250.0,0.0,pykrx-krx,2026-05-19T07:53:23+09:00
20260515,000010,61.2,6.43,0.0,2381.0,250.0,0.0,pykrx-krx,2026-05-19T07:53:23+09:00
20260518,000010,58.6,6.15,0.0,2381.0,250.0,0.0,pykrx-krx,2026-05-19T07:53:23+09:00
20260519,000010,56.72,5.96,0.0,2381.0,250.0,0.0,pykrx-krx,2026-05-19T10:10:37+09:00
20250331,000020,6.04,0.45,3.01,13413.0,991.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20250430,000020,6.34,0.47,2.87,13413.0,991.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20250530,000020,32.84,0.49,2.73,13470.0,201.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20250630,000020,33.53,0.5,2.67,13470.0,201.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20250731,000020,33.38,0.5,2.68,13470.0,201.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20250829,000020,31.0,0.46,2.89,13470.0,201.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20250930,000020,31.64,0.47,2.83,13470.0,201.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20251031,000020,31.14,0.46,2.88,13470.0,201.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20251128,000020,31.19,0.47,2.87,13470.0,201.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20251230,000020,31.09,0.46,2.88,13470.0,201.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20260130,000020,30.2,0.45,2.97,13470.0,201.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20260227,000020,31.34,0.47,2.86,13470.0,201.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20260331,000020,29.0,0.43,3.09,13470.0,201.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20260430,000020,30.15,0.45,2.97,13470.0,201.0,180.0,pykrx-krx,2026-05-18T14:18:34+09:00
20260507,000020,18.85,0.43,1.1,13692.0,313.0,65.0,pykrx-krx,2026-05-18T14:18:34+09:00
