ticker,company,market,sector,isin,corp_name,corp_reg_no,source_bas_dt,investment_universe,exclusion_reason
000010,덕양에너젠,KOSDAQ,KOSDAQ,KR70001A0001,(주)덕양에너젠,2062110077244,20260506,Y,
000090,에임드바이오,KOSDAQ,KOSDAQ,KR70009K0001,(주)에임드바이오,1101116854461,20260506,Y,
000110,액스비스,KOSDAQ,KOSDAQ,KR70011A0009,(주)액스비스,1601110269020,20260506,Y,
000130,삼진식품,KOSDAQ,KOSDAQ,KR70013V0002,삼진식품(주),1801110991314,20260506,Y,
000250,삼천당제약,KOSDAQ,KOSDAQ,KR7000250001,삼천당제약(주),1348110003327,20260506,Y,
000440,중앙에너비스,KOSDAQ,KOSDAQ,KR7000440008,(주)중앙에너비스,1101110003428,20260506,Y,
000820,카나프테라퓨틱스,KOSDAQ,KOSDAQ,KR70082N0008,(주)카나프테라퓨틱스,1101117013206,20260506,Y,
001000,신라섬유,KOSDAQ,KOSDAQ,KR7001000009,신라섬유(주),1701110014522,20260506,Y,
001540,안국약품,KOSDAQ,KOSDAQ,KR7001540004,안국약품(주),1101110026420,20260506,Y,
001810,무림SP,KOSDAQ,KOSDAQ,KR7001810001,무림에스피(주),1701110001082,20260506,Y,
001840,이화공영,KOSDAQ,KOSDAQ,KR7001840008,이화공영(주),1101110033839,20260506,Y,
002230,피에스텍,KOSDAQ,KOSDAQ,KR7002230001,피에스텍(주),1101110033623,20260506,Y,
002290,삼일기업공사,KOSDAQ,KOSDAQ,KR7002290005,(주)삼일기업공사,1101110012825,20260506,Y,
002680,한탑,KOSDAQ,KOSDAQ,KR7002680007,(주)한탑,1801110005834,20260506,Y,
002800,신신제약,KOSDAQ,KOSDAQ,KR7002800001,신신제약(주),1101110027353,20260506,Y,
003100,선광,KOSDAQ,KOSDAQ,KR7003100005,(주)선광,1201110000034,20260506,Y,
003310,대주산업,KOSDAQ,KOSDAQ,KR7003310000,대주산업(주),1101110036148,20260506,Y,
003380,하림지주,KOSDAQ,KOSDAQ,KR7003380003,(주)하림지주,1601110003931,20260506,Y,
003800,에이스침대,KOSDAQ,KOSDAQ,KR7003800000,(주)에이스침대,1311110002772,20260506,Y,
004590,한국가구,KOSDAQ,KOSDAQ,KR7004590006,(주)한국가구,1244110005688,20260506,Y,
004650,창해에탄올,KOSDAQ,KOSDAQ,KR7004650008,(주)창해에탄올,2013110000107,20260506,Y,
004780,대륙제관,KOSDAQ,KOSDAQ,KR7004780003,(주)대륙제관,1101110073877,20260506,Y,
005160,동국산업,KOSDAQ,KOSDAQ,KR7005160007,동국산업(주),1101110085583,20260506,Y,
005290,동진쎄미켐,KOSDAQ,KOSDAQ,KR7005290002,(주)동진쎄미켐,1201110003848,20260506,Y,
005670,푸드웰,KOSDAQ,KOSDAQ,KR7005670005,(주)푸드웰,1701110001628,20260506,Y,
005710,대원산업,KOSDAQ,KOSDAQ,KR7005710009,대원산업(주),1301110007533,20260506,Y,
005860,한일사료,KOSDAQ,KOSDAQ,KR7005860002,한일사료(주),1345110004008,20260506,Y,
005990,매일홀딩스,KOSDAQ,KOSDAQ,KR7005990007,매일홀딩스(주),1101110099609,20260506,Y,
006050,국영지앤엠,KOSDAQ,KOSDAQ,KR7006050009,(주)국영지앤엠,1101110103707,20260506,Y,
006140,피제이전자,KOSDAQ,KOSDAQ,KR7006140008,(주)피제이전자,1101110053465,20260506,Y,
006620,동구바이오제약,KOSDAQ,KOSDAQ,KR7006620009,(주)동구바이오제약,1101110352156,20260506,Y,
006730,서부T&D,KOSDAQ,KOSDAQ,KR7006730006,(주)서부티엔디,1101110256788,20260506,Y,
006910,보성파워텍,KOSDAQ,KOSDAQ,KR7006910004,보성파워텍(주),1301110007765,20260506,Y,
006920,모헨즈,KOSDAQ,KOSDAQ,KR7006920003,(주)모헨즈,1101110046197,20260506,Y,
007330,푸른저축은행,KOSDAQ,KOSDAQ,KR7007330004,(주)푸른저축은행,1101110117211,20260506,Y,
007370,진양제약,KOSDAQ,KOSDAQ,KR7007370000,진양제약(주),1101110233629,20260506,Y,
007390,네이처셀,KOSDAQ,KOSDAQ,KR7007390008,(주)네이처셀,1243110005721,20260506,Y,
007530,와이엠,KOSDAQ,KOSDAQ,KR7007530009,(주)와이엠,1101110123408,20260506,Y,
007680,대원,KOSDAQ,KOSDAQ,KR7007680002,(주)대원,1501110003058,20260506,Y,
007720,소노스퀘어,KOSDAQ,KOSDAQ,KR7007720006,(주)소노스퀘어,1801110068668,20260506,Y,
007770,한일화학,KOSDAQ,KOSDAQ,KR7007770001,한일화학공업(주),1201110003111,20260506,Y,
007820,엠엑스로보틱스,KOSDAQ,KOSDAQ,KR7007820004,(주)엠엑스로보틱스,1101110128680,20260506,Y,
008290,원풍물산,KOSDAQ,KOSDAQ,KR7008290009,원풍물산(주),1201110001769,20260506,Y,
008370,원풍,KOSDAQ,KOSDAQ,KR7008370009,(주)원풍,1101110138382,20260506,Y,
008470,부스타,KOSDAQ,KOSDAQ,KR7008470007,(주)부-스타,1243110002628,20260506,Y,
008830,대동기어,KOSDAQ,KOSDAQ,KR7008830002,대동기어(주),1911110000758,20260506,Y,
009300,삼아제약,KOSDAQ,KOSDAQ,KR7009300005,삼아제약(주),1341110000765,20260506,Y,
009520,포스코엠텍,KOSDAQ,KOSDAQ,KR7009520008,(주)포스코엠텍,1746110000866,20260506,Y,
009620,삼보산업,KOSDAQ,KOSDAQ,KR7009620006,삼보산업 주식회사,1801110020246,20260506,Y,
009730,이렘,KOSDAQ,KOSDAQ,KR7009730003,(주)이렘,1101110162191,20260506,Y,
009780,엠에스씨,KOSDAQ,KOSDAQ,KR7009780008,(주)엠에스씨,1845110000147,20260506,Y,
010170,대한광통신,KOSDAQ,KOSDAQ,KR7010170009,대한광통신(주),1341110003545,20260506,Y,
010240,흥국,KOSDAQ,KOSDAQ,KR7010240000,(주)흥국,1345110001228,20260506,Y,
010280,아이티센엔텍,KOSDAQ,KOSDAQ,KR7010280006,(주)아이티센엔텍,1101110307870,20260506,Y,
010470,오리콤,KOSDAQ,KOSDAQ,KR7010470003,(주)오리콤,1101110176986,20260506,Y,
011040,경동제약,KOSDAQ,KOSDAQ,KR7011040003,경동제약(주),1201110003765,20260506,Y,
011080,형지I&C,KOSDAQ,KOSDAQ,KR7011080009,(주)형지아이앤씨,1101110192271,20260506,Y,
011320,유니크,KOSDAQ,KOSDAQ,KR7011320009,(주)유니크,1801110024496,20260506,Y,
011370,서한,KOSDAQ,KOSDAQ,KR7011370004,(주)서한,1701110023002,20260506,Y,
011560,세보엠이씨,KOSDAQ,KOSDAQ,KR7011560000,(주)세보엠이씨,1101110236590,20260506,Y,
012210,삼미금속,KOSDAQ,KOSDAQ,KR7012210001,삼미금속(주),1942110000258,20260506,Y,
012340,뉴인텍,KOSDAQ,KOSDAQ,KR7012340006,(주)뉴인텍,1243110003006,20260506,Y,
012620,원일특강,KOSDAQ,KOSDAQ,KR7012620001,(주)원일특강,1101110220288,20260506,Y,
012700,리드코프,KOSDAQ,KOSDAQ,KR7012700001,(주)리드코프,1101110219398,20260506,Y,
012790,신일제약,KOSDAQ,KOSDAQ,KR7012790002,신일제약(주),1152110000790,20260506,Y,
012860,모베이스전자,KOSDAQ,KOSDAQ,KR7012860003,(주)모베이스전자,1301110008961,20260506,Y,
013030,하이록코리아,KOSDAQ,KOSDAQ,KR7013030002,하이록코리아(주),1801110029321,20260506,Y,
013120,동원개발,KOSDAQ,KOSDAQ,KR7013120001,(주)동원개발,1801110029438,20260506,Y,
013310,아진산업,KOSDAQ,KOSDAQ,KR7013310008,아진산업(주),1701110008913,20260506,Y,
