state,rank,ticker,company,market,sector,technique,final_score,score_components,evidence_summary,paper_plan,block_reason,close,market_cap,avg_value_20,per,pbr,dividend_yield,roe,roa,operating_margin,relative_momentum_120d_pct,relative_momentum_240d_pct,volatility_60d_pct,drawdown_60d_pct,smart_flow_20d_pressure_pct,fundamental_asof_dt,valuation_asof_dt,disclosure_risk_flag,positive_event_flag,disclosure_event_types,disclosure_titles,isin,source_bas_dt,open,high,low,change,day_change_pct,volume,trading_value,listed_shares,data_vendor,daily_return_pct,ma_60,ma_120,ret_5d_pct,ret_20d_pct,ret_60d_pct,ret_120d_pct,ret_240d_pct,market_ret_120d_median,market_ret_240d_median,price_vs_ma60_pct,price_vs_ma120_pct,investment_universe,exclusion_reason,revenue,operating_income,net_income,equity,total_assets,net_margin,fundamental_available,bps,eps,dps,smart_flow_asof_dt,smart_flow_5d_value,smart_flow_20d_value,smart_flow_5d_pressure_pct,value_score,quality_score,momentum_score,defensive_score,flow_score,liquidity_score,recovery_score,event_score,raw_final_score,overheat_penalty,fundamental_score,value_momentum_score,risk_adjustment_score,event_flow_confirmation_score
paper_review,1,000810,삼성화재,KOSPI,KOSPI,Fundamental Core Composite,76.232,fundamental=77.52; value_momentum=67.5; risk=73.35; event_flow=98.04; value=84.75; quality=74.88; momentum=41.61; defensive=74.18; flow=97.55; liquidity=70.83,"Fundamental Core score 76.23: fundamental 77.52, value+momentum 67.5, risk 73.35, event/flow 98.04, PER 10.32, PBR 0.98, ROE 9.49%","paper only; entry 542,735-551,000; target 595,080; stop 528,960; hold <= 20d",,551000.0,24600757623000.0,99215897237.95,10.32,0.98,3.98,0.09488310543020852,0.020946386358933502,5.278535200482361,-12.662901298976248,-36.81985294117647,3.414212229102962,-10.841423948220063,87.13841975611442,20260401,20260507,False,True,disclosure;earnings,연결재무제표기준영업(잠정)실적(공정공시) | 분기보고서 (2026.03),KR7000810002,20260519,566000.0,579000.0,547000.0,,-0.5415162454873612,188446.0,103833746000.0,44647473.0,FinanceDataReader,-0.5415162454873612,487591.6666666667,493420.8333333333,9.108910891089117,14.79166666666667,-3.3333333333333326,17.484008528784646,44.99999999999999,30.146909827760894,81.81985294117646,13.00439233648374,11.669382964170216,Y,,187870644717.0,991681811276.0,2020287132255.0,21292379956314.0,96450389944868.0,10.753607277487502,True,500071.0,47478.0,19500.0,20260518,68807730000.0,86455165000.0,69.3515171615876,84.7517825311943,74.875,41.61085226169676,74.18300653594771,97.54901960784314,70.83333333333334,50.280494075281325,105.0,76.23248507019822,0.0,77.52354055258468,67.49541042339528,73.34558823529412,98.0392156862745
paper_review,2,105560,KB금융,KOSPI,KOSPI,Fundamental Core Composite,71.93,fundamental=77.84; value_momentum=65.25; risk=78.37; event_flow=49.14; value=81.08; quality=71.25; momentum=41.51; defensive=75.49; flow=49.75; liquidity=87.01,"Fundamental Core score 71.93: fundamental 77.84, value+momentum 65.25, risk 78.37, event/flow 49.14, PER 10.46, PBR 0.98, ROE 9.6%","paper only; entry 150,508-152,800; target 165,024; stop 146,688; hold <= 20d",,152800.0,56971549524000.0,195694088283.3,10.46,0.98,2.71,0.09601703199387394,0.007319897732542331,9.495782097680403,-5.105993297482669,-27.476418597742125,2.730569566361733,-9.478672985781989,0.0,20260401,20260507,False,False,,,KR7105560007,20260519,150200.0,155300.0,149200.0,,-0.1307189542483655,1157980.0,176939344000.0,372850455.0,FinanceDataReader,-0.13071895424836555,154568.33333333334,143478.33333333334,-0.520833333333337,-5.853357979051143,-8.228228228228229,25.040916530278224,54.34343434343434,30.146909827760894,81.81985294117646,-1.1440463225542152,6.496915910648515,Y,,1303373000000.0,12376546000000.0,5840715000000.0,60829989000000.0,797923033000000.0,4.481230622392823,True,164669.0,15410.0,4367.0,,0.0,0.0,0.0,81.07976827094474,71.25,41.51014366142497,75.49019607843137,49.754901960784316,87.00980392156863,65.46421037701877,100.0,71.93028575651685,0.0,77.84237967914439,65.25191842713683,78.37009803921568,49.1421568627451
paper_review,3,005935,삼성전자우,KOSPI,,Fundamental Core Composite,71.14,fundamental=72.88; value_momentum=68.86; risk=81.07; event_flow=49.14; value=58.09; quality=n/a; momentum=85.01; defensive=75.16; flow=49.75; liquidity=98.77,"Fundamental Core score 71.14: fundamental 72.88, value+momentum 68.86, risk 81.07, event/flow 49.14","paper only; entry 178,088-180,800; target 195,264; stop 173,568; hold <= 20d",,180800.0,145068713502400.0,916808718486.1,0.0,0.0,0.9,,,,117.52432304895144,220.85275284946948,4.934929014344005,-7.234479220112878,0.0,,20260507,False,False,,,,20260519,177800.0,183600.0,174600.0,,-2.3230686115613186,4138700.0,748276960000.0,802371203.0,FinanceDataReader,-2.3230686115613186,146891.66666666666,121996.66666666667,-3.3155080213903787,23.32878581173261,35.430711610486895,147.67123287671234,302.67260579064595,30.146909827760894,81.81985294117646,23.083905372440007,48.20077051285554,Y,,,,,,,,False,0.0,0.0,1669.0,,0.0,0.0,0.0,58.08823529411765,,85.01383226557951,75.16339869281046,49.754901960784316,98.77450980392157,66.66666666666667,100.0,71.13952939411591,0.0,72.88324420677363,68.8584740827024,81.06617647058823,49.1421568627451
paper_review,4,032830,삼성생명,KOSPI,KOSPI,Fundamental Core Composite,70.961,fundamental=68.94; value_momentum=75.29; risk=81; event_flow=49.14; value=69.64; quality=62; momentum=83.77; defensive=80.23; flow=49.75; liquidity=83.33,"Fundamental Core score 70.96: fundamental 68.94, value+momentum 75.29, risk 81, event/flow 49.14, PER 23.39, PBR 0.86, ROE 3.78%","paper only; entry 307,320-312,000; target 336,960; stop 299,520; hold <= 20d",,312000.0,62400000000000.0,138014281250.0,23.39,0.86,1.77,0.03781141321771569,0.006990632902936639,0.5079948041951313,80.37940596171278,157.31058184143222,4.4924766097165705,-5.454545454545457,0.0,20260401,20260507,False,False,,,KR7032830002,20260519,314000.0,325500.0,307500.0,,-0.4784688995215336,562673.0,175553976000.0,200000000.0,FinanceDataReader,-0.4784688995215336,243825.0,205913.33333333334,4.173622704507518,23.076923076923084,49.282296650717704,110.52631578947367,239.1304347826087,30.146909827760894,81.81985294117646,27.960627499231006,51.52005698190176,Y,,1039300000000.0,527959000000.0,2451515000000.0,64835318000000.0,350685701000000.0,2.358813624554989,True,349293.0,12824.0,5300.0,,0.0,0.0,0.0,69.63799762329175,62.0,83.77014172005435,80.22875816993464,49.754901960784316,83.33333333333333,66.66666666666667,100.0,70.96089451959902,0.0,68.93996583481878,75.2908552619968,81.00490196078431,49.1421568627451
paper_review,5,086790,하나금융지주,KOSPI,KOSPI,Fundamental Core Composite,70.823,fundamental=75.65; value_momentum=69.28; risk=72.73; event_flow=49.14; value=87.29; quality=67; momentum=42.26; defensive=72.06; flow=49.75; liquidity=74.75,"Fundamental Core score 70.82: fundamental 75.65, value+momentum 69.28, risk 72.73, event/flow 49.14, PER 9.23, PBR 0.78, ROE 8.84%","paper only; entry 113,570-115,300; target 124,524; stop 110,688; hold <= 20d",,115300.0,31634601344400.0,111701982247.7,9.23,0.78,3.19,0.0884344179501031,0.005983833076281653,0.2927392158859156,-5.6328709508710375,-13.988703013956666,2.9145487325514816,-12.185833968012183,0.0,20260401,20260507,False,False,,,KR7086790003,20260519,114300.0,118800.0,114000.0,,0.9632224168126148,1001560.0,115479868000.0,274367748.0,FinanceDataReader,0.9632224168126147,117670.0,108521.66666666667,-6.336311941510964,-6.639676113360327,-8.709422011084722,24.514038876889856,67.8311499272198,30.146909827760894,81.81985294117646,-2.0141072490864276,6.246064533964035,Y,,648222000000.0,189760000000.0,4036638000000.0,45645554000000.0,674590676000000.0,6.2272462212019954,True,164776.0,13954.0,4105.0,,0.0,0.0,0.0,87.28520499108735,67.0,42.26121141525917,72.05882352941175,49.754901960784316,74.75490196078431,63.683741038398885,100.0,70.82254716648136,0.0,75.65080213903744,69.27560756075607,72.73284313725489,49.1421568627451
paper_review,6,005830,DB손해보험,KOSPI,KOSPI,Fundamental Core Composite,69.894,fundamental=78.34; value_momentum=72.78; risk=57.66; event_flow=49.14; value=91.41; quality=80.88; momentum=44.84; defensive=60.29; flow=49.75; liquidity=49.75,"Fundamental Core score 69.89: fundamental 78.34, value+momentum 72.78, risk 57.66, event/flow 49.14, PER 5.57, PBR 0.92, ROE 16.37%","paper only; entry 161,638-164,100; target 177,228; stop 157,536; hold <= 20d",,164100.0,10748607270900.0,35810770441.8,5.57,0.92,4.61,0.1637433633441238,0.024189748638879897,9.070077248214545,6.262067728348832,-11.944076543660941,3.754031571050184,-20.145985401459853,0.0,20260401,20260507,False,False,,,KR7005830005,20260519,161600.0,164500.0,157200.0,,2.179327521793284,283030.0,46445223000.0,65500349.0,FinanceDataReader,2.179327521793284,174691.66666666666,154092.5,1.609907120743026,-5.30871321407963,-10.523446019629223,36.408977556109726,69.87577639751552,30.146909827760894,81.81985294117646,-6.063063492820675,6.494475720752146,Y,,68610000000.0,622298000000.0,1790581000000.0,10935289000000.0,74022307000000.0,26.0979594811252,True,179423.0,29597.0,7600.0,,0.0,0.0,0.0,91.41027926322045,80.875,44.837167540283446,60.29411764705882,49.754901960784316,49.75490196078431,63.89274541568341,100.0,69.89358473531179,0.0,78.33832813428403,72.78103457404565,57.65931372549019,49.1421568627451
paper_review,7,000270,기아,KOSPI,KOSPI,Fundamental Core Composite,68.961,fundamental=77.31; value_momentum=70.76; risk=58.09; event_flow=48.65; value=87.62; quality=63.12; momentum=45.46; defensive=47.06; flow=48.77; liquidity=91.18,"Fundamental Core score 68.96: fundamental 77.31, value+momentum 70.76, risk 58.09, event/flow 48.65, PER 8.13, PBR 1, ROE 12.35%","paper only; entry 152,576-154,900; target 167,292; stop 148,704; hold <= 20d",,154900.0,60474973390200.0,273143652501.0,8.13,1.0,4.31,0.12345345183197173,0.07632093476746166,0.07953456200926505,5.136932966998927,-3.9782915175254914,4.338179216229311,-24.80582524271845,15.28554779424982,20260401,20260507,False,False,disclosure,임원ㆍ주요주주특정증권등소유상황보고서 | 임원ㆍ주요주주특정증권등소유상황보고서 | 임원ㆍ주요주주특정증권등소유상황보고서,KR7000270009,20260519,161700.0,162600.0,152100.0,,-4.676923076923078,1578129.0,244452182100.0,390412998.0,FinanceDataReader,-4.676923076923078,162325.0,148968.33333333334,-7.961972667855022,-2.7010050251256246,-8.882352941176475,35.28384279475982,77.84156142365097,30.146909827760894,81.81985294117646,-4.574156784229166,3.98183059039392,Y,,114140919000000.0,9078148000000.0,7554174000000.0,61190464000000.0,98979055000000.0,0.06618287347064378,True,157456.0,19382.0,6800.0,20260518,-135158753000.0,41751503550.0,-49.48266297328845,87.62106357694593,63.125,45.46447291788002,47.05882352941177,48.77450980392157,91.17647058823529,60.367484349384945,100.0,68.96146233189496,0.0,77.30891636957813,70.75842731331957,58.08823529411765,48.65196078431373
paper_review,8,005387,현대차2우B,KOSPI,,Fundamental Core Composite,68.58,fundamental=78.65; value_momentum=71.52; risk=51.96; event_flow=49.14; value=91.67; quality=n/a; momentum=41.29; defensive=50.65; flow=49.75; liquidity=55.88,"Fundamental Core score 68.58: fundamental 78.65, value+momentum 71.52, risk 51.96, event/flow 49.14","paper only; entry 247,728-251,500; target 271,620; stop 241,440; hold <= 20d",,251500.0,8793428395000.0,70517481350.0,0.0,0.0,3.94,,,,-5.022531718308155,-10.381543466057181,4.240169253119716,-22.25656877897991,0.0,,20260507,False,False,,,,20260519,269000.0,269500.0,250000.0,,-6.851851851851853,245085.0,61638877500.0,34963930.0,FinanceDataReader,-6.851851851851853,260233.33333333334,247527.5,-5.628517823639778,0.3992015968063978,-9.369369369369373,25.12437810945274,71.43830947511928,30.146909827760894,81.81985294117646,-3.35596259766876,1.6048721859187376,Y,,,,,,,,False,0.0,0.0,10100.0,,0.0,0.0,0.0,91.66666666666666,,41.28809939817511,50.653594771241835,49.754901960784316,55.88235294117647,53.369900687474164,100.0,68.57956751557509,0.0,78.65418894830658,71.51523975927003,51.96078431372549,49.1421568627451
paper_review,9,001450,현대해상,KOSPI,KOSPI,Fundamental Core Composite,68.353,fundamental=64.87; value_momentum=67.29; risk=62.07; event_flow=99.26; value=69.5; quality=81.38; momentum=63.97; defensive=76.23; flow=100; liquidity=19.61,"Fundamental Core score 68.35: fundamental 64.87, value+momentum 67.29, risk 62.07, event/flow 99.26, PER 2.38, PBR 0.47, ROE 19.77%","paper only; entry 38,267-38,850; target 41,958; stop 37,296; hold <= 20d",,38850.0,3311894512500.0,15782825979.15,2.38,0.47,0.0,0.19773485688748965,0.0202226291848884,4.378891166740828,3.358244811414359,-6.424819081131304,4.743980201738256,0.0,423.368128041659,20260401,20260507,False,True,disclosure;earnings,[첨부정정]기업지배구조보고서공시(연차보고서) | 분기보고서 (2026.03) | 영업(잠정)실적(공정공시),KR7001450006,20260519,37500.0,40150.0,37150.0,,1.303780964797907,2483170.0,96471154500.0,85248250.0,FinanceDataReader,25.728155339805838,31488.333333333332,30255.833333333332,23.529411764705888,28.21782178217822,28.855721393034827,33.50515463917525,75.39503386004516,30.146909827760894,81.81985294117646,23.379029270100048,28.404990773129146,Y,,30176345797.0,132138934055.0,1019820047983.0,5157512762473.0,50429646840633.0,33.79534602511037,True,65772.0,13006.0,0.0,20260518,67969348600.0,66819454900.0,430.65385558829155,69.50326797385621,81.375,63.965734808775,76.22549019607844,100.0,19.607843137254903,66.66666666666667,105.0,68.35265803970104,0.0,64.86646241830066,67.28825470782373,62.071078431372555,99.26470588235294
paper_review,10,033780,KT&G,KOSPI,KOSPI,Fundamental Core Composite,67.977,fundamental=71.34; value_momentum=61.14; risk=78.37; event_flow=49.14; value=70.97; quality=75.12; momentum=46.4; defensive=83.33; flow=49.75; liquidity=63.48,"Fundamental Core score 67.98: fundamental 71.34, value+momentum 61.14, risk 78.37, event/flow 49.14, PER 17.29, PBR 1.98, ROE 11.81%","paper only; entry 174,542-177,200; target 191,376; stop 170,112; hold <= 20d",,177200.0,20320701494000.0,57561679735.45,17.29,1.98,3.4,0.1180694136963459,0.0776873728736095,0.20421365267480757,-7.771219220026083,-33.41114272342103,2.250378258696468,-6.24338624338624,0.0,20260401,20260507,False,False,,,KR7033780008,20260519,178100.0,179600.0,174400.0,,-0.561167227833892,292938.0,51908613600.0,114676645.0,FinanceDataReader,-0.561167227833892,166305.0,157164.16666666666,-2.690829214717183,3.444249854057202,1.1993146773272345,22.37569060773481,48.408710217755434,30.146909827760894,81.81985294117646,6.551216139021676,12.748347004459259,Y,,6579707000000.0,1343666000000.0,1102316000000.0,9336169000000.0,14189127000000.0,0.1675326880057121,True,89409.0,10220.0,6000.0,,0.0,0.0,0.0,70.9673202614379,75.125,46.40239759270045,83.33333333333333,49.754901960784316,63.48039215686275,71.02199520971023,100.0,67.97697382789751,0.0,71.34089052287582,61.141351193942924,78.37009803921569,49.1421568627451
