filter,signals,successes,failures,time_exits,success_rate,wilson_low,avg_net_return_pct
signal_close_vs_vwap_pct >= 0.5; volume_ratio >= 2.5; day_change_pct >= 5,10,9,1,0,90.0,59.58,0.93
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.0; cum_value_bil <= 10,9,8,1,0,88.89,56.5,0.9
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.0; day_change_pct >= 5,9,8,1,0,88.89,56.5,0.9
signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5; distance_from_60d_high_pct <= -8,9,8,1,0,88.89,56.5,0.9
signal_score >= 70; day_change_pct >= 5,8,7,1,0,87.5,52.91,0.862
signal_hhmm <= 940; signal_score >= 70; day_change_pct >= 5,8,7,1,0,87.5,52.91,0.862
entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.5; day_change_pct >= 5,8,7,0,1,87.5,52.91,0.927
signal_close_vs_vwap_pct >= 0.3; signal_score >= 70; day_change_pct >= 5,8,7,1,0,87.5,52.91,0.862
signal_close_vs_vwap_pct >= 0.5; volume_ratio >= 3.0; day_change_pct >= 5,8,7,1,0,87.5,52.91,0.862
signal_close_vs_vwap_pct >= 0.5; signal_score >= 70; day_change_pct >= 5,8,7,1,0,87.5,52.91,0.862
signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5; distance_from_60d_high_pct <= -10,8,7,0,1,87.5,52.91,1.064
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.0; cum_value_bil <= 8,8,7,1,0,87.5,52.91,0.862
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5; cum_value_bil <= 10,8,7,1,0,87.5,52.91,0.862
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5; distance_from_60d_high_pct <= -8,8,7,1,0,87.5,52.91,0.862
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 15; distance_from_60d_high_pct <= -8,8,7,1,0,87.5,52.91,0.862
volume_ratio >= 2.5; cum_value_bil <= 10; distance_from_60d_high_pct <= -10,8,7,0,1,87.5,52.91,0.927
volume_ratio >= 2.5; day_change_pct >= 5,12,10,1,1,83.33,55.2,0.793
signal_close_vs_vwap_pct >= 0.3; volume_ratio >= 2.5; day_change_pct >= 5,12,10,1,1,83.33,55.2,0.793
volume_ratio >= 2.0; volume_ratio >= 2.5; day_change_pct >= 5,12,10,1,1,83.33,55.2,0.793
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 10; day_change_pct >= 5,11,9,2,0,81.82,52.3,0.709
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 15; day_change_pct >= 5,11,9,2,0,81.82,52.3,0.709
volume_ratio >= 2.5; cum_value_bil <= 10; day_change_pct >= 5,11,9,1,1,81.82,52.3,0.756
volume_ratio >= 2.5; cum_value_bil <= 15; day_change_pct >= 5,11,9,1,1,81.82,52.3,0.756
volume_ratio >= 2.5; day_change_pct >= 5; entry_gap_pct >= -1.5,11,9,1,1,81.82,52.3,0.756
volume_ratio >= 2.5; day_change_pct >= 5; entry_gap_pct >= -1,11,9,1,1,81.82,52.3,0.756
volume_ratio >= 2.5; day_change_pct >= 5; distance_from_60d_high_pct <= -8,11,9,1,1,81.82,52.3,0.756
volume_ratio >= 3.0; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
signal_hhmm <= 940; day_change_pct >= 5; distance_from_60d_high_pct <= -10,10,8,0,2,80.0,49.02,0.873
entry_vs_opening_high_pct >= -0.8; volume_ratio >= 2.5; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.0; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
signal_close_vs_vwap_pct >= 0.3; volume_ratio >= 3.0; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.0; cum_value_bil <= 15,10,8,2,0,80.0,49.02,0.66
volume_ratio >= 2.0; volume_ratio >= 3.0; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
volume_ratio >= 2.5; volume_ratio >= 3.0; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
volume_ratio >= 2.5; cum_value_bil <= 8; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5; distance_from_60d_high_pct <= -8,14,11,2,1,78.57,52.41,0.736
signal_close_vs_vwap_pct >= 0.5; signal_score >= 70,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5,9,7,2,0,77.78,45.26,0.6
volume_ratio >= 2.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
signal_hhmm <= 935; volume_ratio >= 2.0; day_change_pct >= 5,9,7,2,0,77.78,45.26,0.6
signal_hhmm <= 940; signal_close_vs_vwap_pct >= 0.5; signal_score >= 70,9,7,2,0,77.78,45.26,0.6
signal_hhmm <= 940; volume_ratio >= 2.5; day_change_pct >= 5,9,7,1,1,77.78,45.26,0.657
signal_hhmm <= 940; volume_ratio >= 2.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
opening_width_pct <= 3.0; volume_ratio >= 2.5; day_change_pct >= 5,9,7,1,1,77.78,45.26,0.657
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5,9,7,2,0,77.78,45.26,0.6
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 5,9,7,2,0,77.78,45.26,0.6
entry_vs_opening_high_pct >= -0.8; volume_ratio >= 2.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
entry_vs_opening_high_pct >= -0.5; day_change_pct >= 5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
signal_close_vs_vwap_pct >= 0.3; signal_close_vs_vwap_pct >= 0.5; signal_score >= 70,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.3; signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.3; volume_ratio >= 2.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
signal_close_vs_vwap_pct >= 0.5; signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.5; volume_ratio >= 3.0; distance_from_60d_high_pct <= -8,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.0; volume_ratio >= 2.5,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5; cum_value_bil <= 15,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 5; day_change_pct >= 5,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 8; day_change_pct >= 5,9,7,2,0,77.78,45.26,0.6
volume_ratio >= 2.0; volume_ratio >= 2.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
volume_ratio >= 2.5; cum_value_bil <= 15; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
volume_ratio >= 2.5; market_median_change_pct >= -0.5; day_change_pct >= 5,9,7,1,1,77.78,45.26,0.657
