reference_day,entry_date,rank,ticker,company,market,signal_score,day_change_pct,market_median_change_pct,value_ratio_20,close_location_pct,lower_tail_recovery_pct,close_vs_open_pct,distance_from_60d_high_pct,entry_gap_pct,backfill_status,backfill_rows,date,signal_time,entry_time,entry_price,target_price,stop_price,exit_time,exit_price,exit_reason,gross_return_pct,net_return_pct,opening_high,opening_low,entry_vwap,note,source_path
2025-06-16,2025-06-17,1,092790,넥스틸,KOSPI,72.51,7.53,0.74,2.07,93.4,7.83,6.22,-16.22,-2.548,skipped_existing,381,20250617,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,15300.0,14640.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250617\092790.csv
2025-06-16,2025-06-17,2,950160,코오롱티슈진,KOSDAQ,67.17,12.21,0.0,1.95,92.7,14.07,12.21,-30.27,0.0,skipped_existing,380,20250617,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,42550.0,41350.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250617\950160.csv
2025-06-18,2025-06-19,1,377300,카카오페이,KOSPI,67.91,5.01,0.0,1.69,97.7,7.61,5.56,-5.88,0.0,skipped_existing,381,20250619,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,66200.0,62600.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250619\377300.csv
2025-06-19,2025-06-20,1,464080,에스오에스랩,KOSDAQ,71.62,9.79,0.0,2.15,96.4,10.48,8.77,-5.27,0.0,skipped_existing,381,20250620,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,14470.0,13950.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250620\464080.csv
2025-06-20,2025-06-23,1,462860,더즌,KOSDAQ,68.55,7.21,0.19,1.61,98.5,13.79,7.76,-54.09,-4.356,skipped_existing,381,20250623,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,5380.0,4975.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250623\462860.csv
2025-06-24,2025-06-25,1,348370,엔켐,KOSDAQ,74.9,12.68,1.17,2.01,94.6,9.31,8.93,-32.61,0.0,skipped_existing,375,20250625,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,64000.0,60700.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250625\348370.csv
2025-07-02,2025-07-03,1,011170,롯데케미칼,KOSPI,69.45,6.03,0.0,1.82,98.1,8.86,6.2,-6.47,-0.922,skipped_existing,381,20250703,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,65000.0,64100.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250703\011170.csv
2025-07-02,2025-07-03,2,009830,한화솔루션,KOSPI,62.42,6.14,0.0,1.88,90.2,5.51,2.31,-13.01,-0.987,skipped_existing,381,20250703,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,35350.0,34750.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250703\009830.csv
2025-07-08,2025-07-09,1,402340,SK스퀘어,KOSPI,65.62,6.73,0.67,1.61,90.4,6.4,6.4,-14.62,-0.925,skipped_existing,381,20250709,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,174400.0,169100.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250709\402340.csv
2025-07-10,2025-07-11,1,180640,한진칼,KOSPI,70.74,6.12,0.43,1.61,100.0,6.12,6.12,-21.21,-1.769,skipped_existing,381,20250711,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,127700.0,121400.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250711\180640.csv
2025-07-18,2025-07-21,1,052400,코나아이,KOSDAQ,65.1,10.91,-0.22,1.88,92.3,13.38,10.71,-29.07,0.0,skipped_existing,380,20250721,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,64700.0,61000.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250721\052400.csv
2025-07-25,2025-07-28,1,329180,HD현대중공업,KOSPI,68.91,5.83,-0.13,2.24,91.9,6.85,5.46,-6.62,0.0,skipped_existing,381,20250728,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,486000.0,468000.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250728\329180.csv
2025-07-25,2025-07-28,2,443060,HD현대마린솔루션,KOSPI,68.89,6.64,-0.13,1.7,100.0,7.28,5.0,-8.56,0.0,skipped_existing,381,20250728,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,203500.0,195100.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250728\443060.csv
2025-07-29,2025-07-30,1,018290,브이티,KOSDAQ,67.09,8.7,0.0,1.57,98.4,8.85,8.7,-17.67,-1.2,skipped_existing,381,20250730,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,37700.0,37050.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250730\018290.csv
2025-07-31,2025-08-01,1,003230,삼양식품,KOSPI,65.04,5.87,0.0,1.72,93.0,5.87,5.8,-6.06,-1.526,skipped_existing,381,20250801,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,1434000.0,1409000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250801\003230.csv
2025-08-06,2025-08-07,1,403870,HPSP,KOSDAQ,67.09,6.96,0.2,1.93,91.5,8.69,6.96,-13.23,-0.558,skipped_existing,381,20250807,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,26800.0,26300.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250807\403870.csv
2025-08-08,2025-08-11,1,001040,CJ,KOSPI,66.39,6.83,-0.08,2.07,90.4,6.62,6.28,-6.33,-0.302,skipped_existing,381,20250811,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,165400.0,160200.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250811\001040.csv
2025-08-20,2025-08-21,1,201490,미투온,KOSDAQ,63.91,10.99,-1.08,1.68,100.0,22.31,14.39,-22.82,-1.101,skipped_existing,381,20250821,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,6660.0,6130.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250821\201490.csv
2025-08-20,2025-08-21,2,192820,코스맥스,KOSPI,62.5,5.33,-0.66,1.59,96.2,6.5,5.76,-28.4,0.0,collected,381,20250821,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,213500.0,209000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250821\192820.csv
2025-08-21,2025-08-22,1,051600,한전KPS,KOSPI,72.3,7.69,0.17,2.48,91.1,8.47,7.14,-19.72,0.0,skipped_existing,381,20250822,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,53700.0,51400.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250822\051600.csv
2025-08-21,2025-08-22,2,018290,브이티,KOSDAQ,64.79,5.38,0.0,1.8,91.5,5.81,5.81,-14.05,-0.383,skipped_existing,381,20250822,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,39200.0,38750.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250822\018290.csv
2025-08-25,2025-08-26,1,241560,두산밥캣,KOSPI,76.78,5.93,0.39,2.24,100.0,5.15,4.95,-22.6,-1.224,skipped_existing,381,20250826,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,56500.0,55400.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250826\241560.csv
2025-09-03,2025-09-04,1,034230,파라다이스,KOSPI,68.42,8.37,0.14,1.94,93.8,7.65,7.65,-6.64,0.711,skipped_existing,381,20250904,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,21250.0,20800.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250904\034230.csv
2025-09-08,2025-09-09,1,336570,원텍,KOSDAQ,71.35,10.93,0.14,2.32,92.4,10.93,10.82,-17.52,-0.904,skipped_existing,380,20250909,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,10980.0,10530.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250909\336570.csv
2025-09-09,2025-09-10,1,071050,한국금융지주,KOSPI,70.76,6.79,0.34,2.05,94.1,5.99,5.44,-13.72,0.0,skipped_existing,381,20250910,091600,091700,144400.0,146999.2,143100.4,093400,146999.2,target_hit,1.8,1.2,145000.0,141200.0,143595.74,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250910\071050.csv
2025-09-10,2025-09-11,1,105560,KB금융,KOSPI,72.04,7.01,0.46,2.07,94.9,6.72,5.76,-7.11,-0.51,skipped_existing,381,20250911,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,117400.0,114900.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250911\105560.csv
2025-09-15,2025-09-16,1,101490,에스앤에스텍,KOSDAQ,65.4,7.57,0.0,1.77,92.9,7.78,5.06,-6.41,0.37,skipped_existing,381,20250916,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,54300.0,53000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250916\101490.csv
2025-09-16,2025-09-17,1,079550,LIG넥스원,KOSPI,66.1,9.49,-0.3,1.81,95.6,8.62,8.51,-16.62,-1.292,skipped_existing,381,20250917,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,535000.0,523000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250917\079550.csv
2025-09-24,2025-09-25,1,204620,글로벌텍스프리,KOSDAQ,62.75,7.3,-0.63,1.83,92.6,8.59,7.3,-19.28,-0.949,skipped_existing,381,20250925,093200,093300,6270.0,6382.86,6213.57,093500,6382.86,target_hit,1.8,1.2,6290.0,6160.0,6197.85,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250925\204620.csv
2025-10-01,2025-10-02,1,023160,태광,KOSDAQ,69.21,7.95,0.0,2.2,92.1,6.7,6.1,-13.78,0.0,skipped_existing,381,20251002,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,27850.0,27050.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251002\023160.csv
2025-10-01,2025-10-02,2,071970,HD현대마린엔진,KOSPI,62.6,6.63,0.0,1.52,92.3,7.28,5.87,-8.11,-0.679,skipped_existing,381,20251002,092800,092900,87300.0,88871.4,86514.3,093200,86514.3,stop_loss,-0.9,-1.5,87900.0,85500.0,86776.89,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251002\071970.csv
2025-10-10,2025-10-13,1,083650,비에이치아이,KOSDAQ,67.16,12.27,-0.4,2.11,93.3,11.57,10.66,-9.09,-0.926,collected,379,20251013,091400,091500,54500.0,55481.0,54009.5,091600,54009.5,stop_loss,-0.9,-1.5,54200.0,52500.0,53581.77,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251013\083650.csv
2025-10-14,2025-10-15,1,247540,에코프로비엠,KOSDAQ,72.52,5.01,-0.71,2.46,98.5,5.64,4.56,-12.89,0.0,skipped_existing,381,20251015,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,125500.0,122000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251015\247540.csv
2025-10-15,2025-10-16,1,062040,산일전기,KOSPI,74.81,11.1,1.14,1.88,96.8,11.0,9.1,-8.12,-0.083,skipped_existing,380,20251016,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,121100.0,118600.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251016\062040.csv
2025-10-15,2025-10-16,2,071050,한국금융지주,KOSPI,72.7,6.69,1.14,1.59,97.8,6.54,6.16,-9.19,0.0,collected,381,20251016,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,161000.0,153300.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251016\071050.csv
2025-10-20,2025-10-21,1,025980,아난티,KOSDAQ,56.87,6.63,0.25,2.33,91.2,3.26,0.2,-10.41,-0.612,skipped_existing,381,20251021,094000,094100,9870.0,10047.66,9781.17,112000,9930.0,time_exit,0.608,0.008,9920.0,9740.0,9785.01,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251021\025980.csv
2025-10-22,2025-10-23,1,000880,한화,KOSPI,75.62,5.84,0.6,2.1,98.7,8.59,4.68,-6.06,-2.081,skipped_existing,381,20251023,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,94800.0,92400.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251023\000880.csv
2025-10-23,2025-10-24,1,353200,대덕전자,KOSPI,68.25,11.62,-0.51,1.9,98.9,14.73,13.43,-6.78,0.0,skipped_existing,381,20251024,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,35200.0,34250.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251024\353200.csv
2025-10-23,2025-10-24,2,356860,티엘비,KOSDAQ,61.77,9.31,-0.62,1.54,95.4,13.11,11.01,-5.67,0.0,skipped_existing,381,20251024,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,71600.0,67700.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251024\356860.csv
2025-10-27,2025-10-28,1,298380,에이비엘바이오,KOSDAQ,70.56,11.32,0.0,2.14,94.9,11.06,9.01,-15.94,0.0,skipped_existing,381,20251028,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,96900.0,93600.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251028\298380.csv
2025-10-27,2025-10-28,2,196170,알테오젠,KOSDAQ,68.42,8.41,0.0,2.05,93.1,9.14,7.92,-8.6,0.103,skipped_existing,381,20251028,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,484000.0,475000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251028\196170.csv
2025-10-30,2025-10-31,1,003230,삼양식품,KOSPI,65.24,6.27,-0.94,2.22,92.9,7.48,6.79,-20.6,0.0,skipped_existing,381,20251031,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,1389000.0,1349000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251031\003230.csv
2025-10-31,2025-11-03,1,397030,에이프릴바이오,KOSDAQ,63.06,8.52,0.0,1.63,91.4,8.7,7.12,-9.93,0.0,skipped_existing,381,20251103,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,34200.0,32800.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251103\397030.csv
2025-11-03,2025-11-04,1,047810,한국항공우주,KOSPI,65.59,5.32,-0.75,1.68,100.0,5.12,5.12,-8.33,-0.092,skipped_existing,381,20251104,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,108800.0,104100.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251104\047810.csv
2025-11-03,2025-11-04,2,402340,SK스퀘어,KOSPI,60.0,8.65,-0.75,1.69,91.5,13.0,8.86,-5.04,-1.416,skipped_existing,381,20251104,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,278500.0,266500.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251104\402340.csv
2025-11-10,2025-11-11,1,004800,효성,KOSPI,70.52,8.81,1.95,1.54,92.6,8.41,8.33,-11.54,0.0,skipped_existing,379,20251111,093700,093800,159700.0,162574.6,158262.7,093900,162574.6,target_hit,1.8,1.2,160000.0,154700.0,156232.81,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251111\004800.csv
