filter,signals,successes,failures,time_exits,success_rate,wilson_low,avg_net_return_pct
signal_hhmm <= 930,6,4,2,0,66.67,30.0,0.3
signal_hhmm <= 935,8,6,2,0,75.0,40.93,0.525
signal_hhmm <= 940,11,7,2,2,63.64,35.38,0.57
opening_width_pct <= 3.0,10,7,1,2,70.0,39.68,0.777
signal_close_vs_vwap_pct >= 0.6,12,8,2,2,66.67,39.06,0.622
signal_close_vs_vwap_pct >= 0.8,10,7,1,2,70.0,39.68,0.777
signal_close_vs_vwap_pct >= 1.0,7,6,1,0,85.71,48.69,0.814
signal_close_vs_vwap_pct >= 1.2,6,5,1,0,83.33,43.65,0.75
volume_ratio >= 2.8,11,8,1,2,72.73,43.43,0.815
volume_ratio >= 3.0,10,7,1,2,70.0,39.68,0.777
volume_ratio >= 3.5,6,4,0,2,66.67,30.0,0.945
cum_value_bil <= 5,8,6,1,1,75.0,40.93,0.714
cum_value_bil <= 8,9,7,1,1,77.78,45.26,0.768
cum_value_bil <= 10,10,8,1,1,80.0,49.02,0.811
market_median_change_pct >= -0.5,10,6,2,2,60.0,31.27,0.507
market_median_change_pct >= 0,9,6,1,2,66.67,35.42,0.73
day_change_pct >= 6,10,7,2,1,70.0,39.68,0.541
entry_gap_pct >= -1.5,12,8,2,2,66.67,39.06,0.622
entry_gap_pct >= -1,12,8,2,2,66.67,39.06,0.622
distance_from_60d_high_pct <= -8,13,9,2,2,69.23,42.37,0.667
distance_from_60d_high_pct <= -10,7,6,0,1,85.71,48.69,1.03
signal_hhmm <= 930; signal_hhmm <= 935,6,4,2,0,66.67,30.0,0.3
signal_hhmm <= 930; signal_hhmm <= 940,6,4,2,0,66.67,30.0,0.3
signal_hhmm <= 930; entry_gap_pct >= -1.5,6,4,2,0,66.67,30.0,0.3
signal_hhmm <= 930; entry_gap_pct >= -1,6,4,2,0,66.67,30.0,0.3
signal_hhmm <= 930; distance_from_60d_high_pct <= -8,6,4,2,0,66.67,30.0,0.3
signal_hhmm <= 935; signal_hhmm <= 940,8,6,2,0,75.0,40.93,0.525
signal_hhmm <= 935; opening_width_pct <= 3.0,6,5,1,0,83.33,43.65,0.75
signal_hhmm <= 935; signal_close_vs_vwap_pct >= 0.6,7,5,2,0,71.43,35.89,0.429
signal_hhmm <= 935; signal_close_vs_vwap_pct >= 0.8,6,5,1,0,83.33,43.65,0.75
