reference_day,entry_date,rank,ticker,company,market,signal_score,day_change_pct,market_median_change_pct,value_ratio_20,close_location_pct,lower_tail_recovery_pct,close_vs_open_pct,distance_from_60d_high_pct,entry_gap_pct,backfill_status,backfill_rows,date,signal_time,entry_time,entry_price,target_price,stop_price,exit_time,exit_price,exit_reason,gross_return_pct,net_return_pct,opening_high,opening_low,entry_vwap,note,source_path,entry_date_compact,reference_day_compact,signal_hhmm,opening_width_pct,is_signal,is_success,is_failure_exit,is_time_exit
2025-09-05,2025-09-08,1,443060,HD현대마린솔루션,KOSPI,74.5,7.58,0.0,2.2,100.0,8.91,8.11,1.15,0.0,skipped_existing,381,20250908,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,222500.0,217500.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250908\443060.csv,20250908,20250905,9999,2.298850574712641,False,False,False,False
2025-09-05,2025-09-08,2,267250,HD현대,KOSPI,69.71,4.86,0.0,2.3,91.4,5.39,5.24,-5.24,-0.829,skipped_existing,381,20250908,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,144000.0,142300.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250908\267250.csv,20250908,20250905,9999,1.194659170765977,False,False,False,False
2025-09-08,2025-09-09,1,007660,이수페타시스,KOSPI,82.06,9.34,0.27,4.01,82.4,6.47,6.31,1.62,0.145,skipped_existing,381,20250909,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,71500.0,68700.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250909\007660.csv,20250909,20250908,9999,4.0756914119359555,False,False,False,False
2025-09-08,2025-09-09,2,336570,원텍,KOSDAQ,71.35,10.93,0.14,2.32,92.4,10.93,10.82,-17.52,-0.904,skipped_existing,380,20250909,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,10980.0,10530.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250909\336570.csv,20250909,20250908,9999,4.2735042735042805,False,False,False,False
2025-09-09,2025-09-10,1,006800,미래에셋증권,KOSPI,92.72,11.68,0.34,4.57,97.8,11.11,9.73,-13.21,0.0,skipped_existing,381,20250910,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,22652.0,21905.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250910\006800.csv,20250910,20250909,9999,3.4101803241269213,False,False,False,False
2025-09-09,2025-09-10,2,222800,심텍,KOSDAQ,89.75,14.08,0.14,6.29,94.8,10.74,9.04,-0.7,0.0,skipped_existing,381,20250910,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,29700.0,28500.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250910\222800.csv,20250910,20250909,9999,4.210526315789465,False,False,False,False
2025-09-10,2025-09-11,1,103590,일진전기,KOSPI,79.79,7.73,0.46,3.24,88.9,7.73,6.7,-12.16,0.0,skipped_existing,381,20250911,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,40150.0,38700.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250911\103590.csv,20250911,20250910,9999,3.746770025839785,False,False,False,False
2025-09-10,2025-09-11,2,071050,한국금융지주,KOSPI,76.39,6.15,0.46,3.22,84.1,6.37,4.09,-8.41,-0.999,skipped_existing,381,20250911,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,150500.0,147100.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250911\071050.csv,20250911,20250910,9999,2.3113528212100665,False,False,False,False
2025-09-11,2025-09-12,1,475150,SK이터닉스,KOSPI,86.3,10.07,0.0,6.55,90.7,8.61,8.61,-19.61,0.0,skipped_existing,381,20250912,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,25650.0,24150.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250912\475150.csv,20250912,20250911,9999,6.211180124223592,False,False,False,False
2025-09-11,2025-09-12,2,082270,젬백스,KOSDAQ,82.85,3.15,0.0,5.12,85.5,12.4,4.8,-18.98,-0.17,skipped_existing,380,20250912,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,58900.0,56400.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250912\082270.csv,20250912,20250911,9999,4.432624113475181,False,False,False,False
