window,rule,eligible,candidates,signals,successes,failure_exits,time_exits,no_signals,success_rate,candidate_success_rate,wilson_low,avg_net_return_pct
1,base,True,160,11,4,5,2,149,36.36,2.5,15.17,-0.267
1,rank<=2,True,160,11,4,5,2,149,36.36,2.5,15.17,-0.267
1,signal<=940,True,160,11,4,5,2,149,36.36,2.5,15.17,-0.267
1,signal<=940; rank<=2,True,160,11,4,5,2,149,36.36,2.5,15.17,-0.267
1,signal<=950,True,160,11,4,5,2,149,36.36,2.5,15.17,-0.267
1,signal<=950; rank<=2,True,160,11,4,5,2,149,36.36,2.5,15.17,-0.267
1,value_ratio<=5,True,126,9,3,4,2,117,33.33,2.38,12.06,-0.293
1,value_ratio<=5; rank<=2,True,126,9,3,4,2,117,33.33,2.38,12.06,-0.293
1,value_ratio<=5; signal<=940,True,126,9,3,4,2,117,33.33,2.38,12.06,-0.293
1,value_ratio<=5; signal<=940; rank<=2,True,126,9,3,4,2,117,33.33,2.38,12.06,-0.293
1,value_ratio<=5; signal<=950,True,126,9,3,4,2,117,33.33,2.38,12.06,-0.293
1,value_ratio<=5; signal<=950; rank<=2,True,126,9,3,4,2,117,33.33,2.38,12.06,-0.293
1,distance<=-3; value_ratio<=2.5,False,26,2,2,0,0,24,100.0,7.69,34.24,1.2
1,distance<=-3; value_ratio<=2.5; rank<=2,False,26,2,2,0,0,24,100.0,7.69,34.24,1.2
1,distance<=-3; value_ratio<=2.5; signal<=940,False,26,2,2,0,0,24,100.0,7.69,34.24,1.2
1,distance<=-3; value_ratio<=2.5; signal<=940; rank<=2,False,26,2,2,0,0,24,100.0,7.69,34.24,1.2
1,distance<=-3; value_ratio<=2.5; signal<=950,False,26,2,2,0,0,24,100.0,7.69,34.24,1.2
1,distance<=-3; value_ratio<=2.5; signal<=950; rank<=2,False,26,2,2,0,0,24,100.0,7.69,34.24,1.2
1,distance<=-3; value_ratio<=2.5; close_location>=80,False,25,2,2,0,0,23,100.0,8.0,34.24,1.2
1,distance<=-3; value_ratio<=2.5; close_location>=80; rank<=2,False,25,2,2,0,0,23,100.0,8.0,34.24,1.2
1,distance<=-3; value_ratio<=2.5; close_location>=80; signal<=940,False,25,2,2,0,0,23,100.0,8.0,34.24,1.2
1,distance<=-3; value_ratio<=2.5; close_location>=80; signal<=940; rank<=2,False,25,2,2,0,0,23,100.0,8.0,34.24,1.2
1,distance<=-3; value_ratio<=2.5; close_location>=80; signal<=950,False,25,2,2,0,0,23,100.0,8.0,34.24,1.2
1,distance<=-3; value_ratio<=2.5; close_location>=80; signal<=950; rank<=2,False,25,2,2,0,0,23,100.0,8.0,34.24,1.2
1,distance<=-3; value_ratio<=2.5; close_location>=88,False,18,2,2,0,0,16,100.0,11.11,34.24,1.2
1,distance<=-3; value_ratio<=2.5; close_location>=88; rank<=2,False,18,2,2,0,0,16,100.0,11.11,34.24,1.2
1,distance<=-3; value_ratio<=2.5; close_location>=88; signal<=940,False,18,2,2,0,0,16,100.0,11.11,34.24,1.2
