reference_day,rank,ticker,company,market,signal_score,day_change_pct,market_median_change_pct,trading_value,avg_value_20,value_ratio_20,close_location_pct,lower_tail_recovery_pct,close_vs_open_pct,distance_from_60d_high_pct,entry_date,entry_price,target_price,stop_price,exit_price,exit_reason,gross_return_pct,net_return_pct,entry_gap_pct,note
2025-06-16,1,092790,넥스틸,KOSPI,72.51,7.53,0.74,21329667985,10312431694,2.07,93.4,7.83,6.22,-16.22,2025-06-17,15300.0,15575.4,15162.3,15162.3,stop_loss,-0.9,-1.5,-2.548,
2025-06-16,2,950160,코오롱티슈진,KOSDAQ,67.17,12.21,0.0,25348164725,12984688218,1.95,92.7,14.07,12.21,-30.27,2025-06-17,0.0,0.0,0.0,0.0,no_entry,0.0,1.209,0.0,gap_up_chase_block
2025-06-18,1,377300,카카오페이,KOSPI,67.91,5.01,0.0,111594481450,65927563776,1.69,97.7,7.61,5.56,-5.88,2025-06-19,0.0,0.0,0.0,0.0,no_entry,0.0,5.263,0.0,gap_up_chase_block
2025-06-19,1,464080,에스오에스랩,KOSDAQ,71.62,9.79,0.0,22947206830,10655489864,2.15,96.4,10.48,8.77,-5.27,2025-06-20,0.0,0.0,0.0,0.0,no_entry,0.0,2.71,0.0,gap_up_chase_block
2025-06-20,1,462860,더즌,KOSDAQ,68.55,7.21,0.19,95539197955,59243010686,1.61,98.5,13.79,7.76,-54.09,2025-06-23,5050.0,5140.9,5004.55,5004.55,ambiguous_stop_first,-0.9,-1.5,-4.356,
2025-06-24,1,348370,엔켐,KOSDAQ,74.9,12.68,1.17,30779430600,15299415455,2.01,94.6,9.31,8.93,-32.61,2025-06-25,0.0,0.0,0.0,0.0,no_entry,0.0,2.733,0.0,gap_up_chase_block
2025-07-02,1,011170,롯데케미칼,KOSPI,69.45,6.03,0.0,21371052700,11754651165,1.82,98.1,8.86,6.2,-6.47,2025-07-03,64500.0,65661.0,63919.5,65661.0,target_hit,1.8,1.2,-0.922,
2025-07-02,2,009830,한화솔루션,KOSPI,62.42,6.14,0.0,259012479825,137695037160,1.88,90.2,5.51,2.31,-13.01,2025-07-03,35100.0,35731.8,34784.1,34784.1,ambiguous_stop_first,-0.9,-1.5,-0.987,
2025-07-08,1,402340,SK스퀘어,KOSPI,65.62,6.73,0.67,210719707064,130504361011,1.61,90.4,6.4,6.4,-14.62,2025-07-09,171300.0,174383.4,169758.3,169758.3,ambiguous_stop_first,-0.9,-1.5,-0.925,
2025-07-10,1,180640,한진칼,KOSPI,70.74,6.12,0.43,22695007250,14101569127,1.61,100.0,6.12,6.12,-21.21,2025-07-11,127700.0,129998.6,126550.7,126550.7,stop_loss,-0.9,-1.5,-1.769,
2025-07-18,1,052400,코나아이,KOSDAQ,65.1,10.91,-0.22,55836819600,29660385300,1.88,92.3,13.38,10.71,-29.07,2025-07-21,0.0,0.0,0.0,0.0,no_entry,0.0,5.41,0.0,gap_up_chase_block
2025-07-25,1,329180,HD현대중공업,KOSPI,68.91,5.83,-0.13,168900143750,75267080292,2.24,91.9,6.85,5.46,-6.62,2025-07-28,0.0,0.0,0.0,0.0,no_entry,0.0,6.637,0.0,gap_up_chase_block
2025-07-25,2,443060,HD현대마린솔루션,KOSPI,68.89,6.64,-0.13,35473514450,20822776572,1.7,100.0,7.28,5.0,-8.56,2025-07-28,0.0,0.0,0.0,0.0,no_entry,0.0,2.785,0.0,gap_up_chase_block
2025-07-29,1,018290,브이티,KOSDAQ,67.09,8.7,0.0,25205431825,16090925536,1.57,98.4,8.85,8.7,-17.67,2025-07-30,37050.0,37716.9,36716.55,37716.9,target_hit,1.8,1.2,-1.2,
2025-07-31,1,003230,삼양식품,KOSPI,65.04,5.87,0.0,110743090500,64434655500,1.72,93.0,5.87,5.8,-6.06,2025-08-01,1420000.0,1445560.0,1407220.0,1407220.0,ambiguous_stop_first,-0.9,-1.5,-1.526,
2025-08-06,1,403870,HPSP,KOSDAQ,67.09,6.96,0.2,20768224975,10781658990,1.93,91.5,8.69,6.96,-13.23,2025-08-07,26750.0,27231.5,26509.25,26509.25,stop_loss,-0.9,-1.5,-0.558,
2025-08-08,1,001040,CJ,KOSPI,66.39,6.83,-0.08,56024341950,27036207615,2.07,90.4,6.62,6.28,-6.33,2025-08-11,165300.0,168275.4,163812.3,163812.3,stop_loss,-0.9,-1.5,-0.302,
2025-08-20,1,201490,미투온,KOSDAQ,63.91,10.99,-1.08,90115684460,53524417689,1.68,100.0,22.31,14.39,-22.82,2025-08-21,6290.0,6403.22,6233.39,6233.39,ambiguous_stop_first,-0.9,-1.5,-1.101,
2025-08-20,2,192820,코스맥스,KOSPI,62.5,5.33,-0.66,51915537750,32735355208,1.59,96.2,6.5,5.76,-28.4,2025-08-21,0.0,0.0,0.0,0.0,no_entry,0.0,1.946,0.0,gap_up_chase_block
2025-08-21,1,051600,한전KPS,KOSPI,72.3,7.69,0.17,33956037825,13665978223,2.48,91.1,8.47,7.14,-19.72,2025-08-22,0.0,0.0,0.0,0.0,no_entry,0.0,1.905,0.0,gap_up_chase_block
2025-08-21,2,018290,브이티,KOSDAQ,64.79,5.38,0.0,30206754150,16813560222,1.8,91.5,5.81,5.81,-14.05,2025-08-22,39000.0,39702.0,38649.0,38649.0,stop_loss,-0.9,-1.5,-0.383,
2025-08-25,1,241560,두산밥캣,KOSPI,76.78,5.93,0.39,28535965450,12767574022,2.24,100.0,5.15,4.95,-22.6,2025-08-26,56500.0,57517.0,55991.5,55991.5,stop_loss,-0.9,-1.5,-1.224,
2025-09-03,1,034230,파라다이스,KOSPI,68.42,8.37,0.14,47121176390,24276723904,1.94,93.8,7.65,7.65,-6.64,2025-09-04,21250.0,21632.5,21058.75,21058.75,ambiguous_stop_first,-0.9,-1.5,0.711,
2025-09-08,1,336570,원텍,KOSDAQ,71.35,10.93,0.14,29724629645,12794366401,2.32,92.4,10.93,10.82,-17.52,2025-09-09,10960.0,11157.28,10861.36,10861.36,stop_loss,-0.9,-1.5,-0.904,
2025-09-09,1,071050,한국금융지주,KOSPI,70.76,6.79,0.34,54817516490,26759707701,2.05,94.1,5.99,5.44,-13.72,2025-09-10,0.0,0.0,0.0,0.0,no_entry,0.0,1.979,0.0,gap_up_chase_block
2025-09-10,1,105560,KB금융,KOSPI,72.04,7.01,0.46,179558928350,86899276994,2.07,94.9,6.72,5.76,-7.11,2025-09-11,117000.0,119106.0,115947.0,115947.0,stop_loss,-0.9,-1.5,-0.51,
2025-09-15,1,101490,에스앤에스텍,KOSDAQ,65.4,7.57,0.0,19400022100,10984666430,1.77,92.9,7.78,5.06,-6.41,2025-09-16,54200.0,55175.6,53712.2,53712.2,stop_loss,-0.9,-1.5,0.37,
2025-09-16,1,079550,LIG넥스원,KOSPI,66.1,9.49,-0.3,167954939750,92996128387,1.81,95.6,8.62,8.51,-16.62,2025-09-17,535000.0,544630.0,530185.0,530185.0,stop_loss,-0.9,-1.5,-1.292,
2025-09-24,1,204620,글로벌텍스프리,KOSDAQ,62.75,7.3,-0.63,26035603470,14199804476,1.83,92.6,8.59,7.3,-19.28,2025-09-25,6260.0,6372.68,6203.66,6203.66,ambiguous_stop_first,-0.9,-1.5,-0.949,
2025-10-01,1,023160,태광,KOSDAQ,69.21,7.95,0.0,24307690300,11062087786,2.2,92.1,6.7,6.1,-13.78,2025-10-02,27850.0,28351.3,27599.35,27599.35,stop_loss,-0.9,-1.5,0.0,
2025-10-01,2,071970,HD현대마린엔진,KOSPI,62.6,6.63,0.0,41352545250,27149958935,1.52,92.3,7.28,5.87,-8.11,2025-10-02,87800.0,89380.4,87009.8,87009.8,ambiguous_stop_first,-0.9,-1.5,-0.679,
2025-10-10,1,083650,비에이치아이,KOSDAQ,67.16,12.27,-0.4,111800956425,52971326531,2.11,93.3,11.57,10.66,-9.09,2025-10-13,53500.0,54463.0,53018.5,53018.5,ambiguous_stop_first,-0.9,-1.5,-0.926,
2025-10-14,1,247540,에코프로비엠,KOSDAQ,72.52,5.01,-0.71,109173593400,44437573910,2.46,98.5,5.64,4.56,-12.89,2025-10-15,0.0,0.0,0.0,0.0,no_entry,0.0,1.374,0.0,gap_up_chase_block
2025-10-15,1,062040,산일전기,KOSPI,74.81,11.1,1.14,132900887150,70853489510,1.88,96.8,11.0,9.1,-8.12,2025-10-16,121000.0,123178.0,119911.0,119911.0,ambiguous_stop_first,-0.9,-1.5,-0.083,
2025-10-15,2,071050,한국금융지주,KOSPI,72.7,6.69,1.14,62929759000,39506377910,1.59,97.8,6.54,6.16,-9.19,2025-10-16,0.0,0.0,0.0,0.0,no_entry,0.0,3.372,0.0,gap_up_chase_block
2025-10-20,1,025980,아난티,KOSDAQ,56.87,6.63,0.25,25787556850,11076666375,2.33,91.2,3.26,0.2,-10.41,2025-10-21,9750.0,9925.5,9662.25,9925.5,target_hit,1.8,1.2,-0.612,
2025-10-22,1,000880,한화,KOSPI,75.62,5.84,0.6,42977211700,20476594985,2.1,98.7,8.59,4.68,-6.06,2025-10-23,94100.0,95793.8,93253.1,93253.1,ambiguous_stop_first,-0.9,-1.5,-2.081,
2025-10-23,1,353200,대덕전자,KOSPI,68.25,11.62,-0.51,107240023800,56356799277,1.9,98.9,14.73,13.43,-6.78,2025-10-24,35050.0,35680.9,34734.55,34734.55,ambiguous_stop_first,-0.9,-1.5,0.0,
2025-10-23,2,356860,티엘비,KOSDAQ,61.77,9.31,-0.62,53775438700,34830907698,1.54,95.4,13.11,11.01,-5.67,2025-10-24,71600.0,72888.8,70955.6,70955.6,stop_loss,-0.9,-1.5,0.0,
2025-10-27,1,298380,에이비엘바이오,KOSDAQ,70.56,11.32,0.0,122157201200,57023649850,2.14,94.9,11.06,9.01,-15.94,2025-10-28,0.0,0.0,0.0,0.0,no_entry,0.0,2.436,0.0,gap_up_chase_block
2025-10-27,2,196170,알테오젠,KOSDAQ,68.42,8.41,0.0,358670021750,174825079075,2.05,93.1,9.14,7.92,-8.6,2025-10-28,484000.0,492712.0,479644.0,479644.0,stop_loss,-0.9,-1.5,0.103,
2025-10-30,1,003230,삼양식품,KOSPI,65.24,6.27,-0.94,158880601500,71703892150,2.22,92.9,7.48,6.79,-20.6,2025-10-31,0.0,0.0,0.0,0.0,no_entry,0.0,4.236,0.0,gap_up_chase_block
2025-10-31,1,397030,에이프릴바이오,KOSDAQ,63.06,8.52,0.0,49618214050,30428653333,1.63,91.4,8.7,7.12,-9.93,2025-11-03,0.0,0.0,0.0,0.0,no_entry,0.0,1.057,0.0,gap_up_chase_block
2025-11-03,1,047810,한국항공우주,KOSPI,65.59,5.32,-0.75,106999272150,63546376515,1.68,100.0,5.12,5.12,-8.33,2025-11-04,108800.0,110758.4,107820.8,107820.8,stop_loss,-0.9,-1.5,-0.092,
2025-11-03,2,402340,SK스퀘어,KOSPI,60.0,8.65,-0.75,256596074910,151979178933,1.69,91.5,13.0,8.86,-5.04,2025-11-04,278500.0,283513.0,275993.5,275993.5,stop_loss,-0.9,-1.5,-1.416,
2025-11-10,1,004800,효성,KOSPI,70.52,8.81,1.95,15936094100,10320150532,1.54,92.6,8.41,8.33,-11.54,2025-11-11,0.0,0.0,0.0,0.0,no_entry,0.0,8.922,0.0,gap_up_chase_block
2025-11-13,1,003230,삼양식품,KOSPI,65.38,7.97,0.0,129165995000,78957845450,1.64,94.8,8.66,7.97,-17.84,2025-11-14,1353000.0,1377354.0,1340823.0,1340823.0,ambiguous_stop_first,-0.9,-1.5,-1.096,
2025-11-20,1,126340,비나텍,KOSDAQ,70.65,12.23,1.27,18499120450,10660370841,1.74,91.7,8.38,7.97,-11.23,2025-11-21,0.0,0.0,0.0,0.0,no_entry,0.0,-5.097,0.0,gap_down_risk_block
2025-11-24,1,180640,한진칼,KOSPI,69.61,10.67,-0.41,22370316800,11672725180,1.92,100.0,9.34,9.34,-9.78,2025-11-25,108000.0,109944.0,107028.0,107028.0,stop_loss,-0.9,-1.5,-0.826,
2025-11-27,1,160190,하이젠알앤엠,KOSDAQ,71.69,12.74,0.0,32500291300,14611404868,2.22,95.4,13.34,11.79,-24.14,2025-11-28,53300.0,54259.4,52820.3,52820.3,ambiguous_stop_first,-0.9,-1.5,0.377,
2025-12-08,1,003670,포스코퓨처엠,KOSPI,69.46,7.04,-0.34,123084193000,58487100685,2.1,96.4,6.52,5.76,-15.19,2025-12-09,218000.0,221924.0,216038.0,221924.0,target_hit,1.8,1.2,-1.134,
2025-12-08,2,066970,엘앤에프,KOSPI,68.27,6.97,-0.34,161059604900,70342814057,2.29,91.9,6.37,5.6,-11.41,2025-12-09,129000.0,131322.0,127839.0,127839.0,ambiguous_stop_first,-0.9,-1.5,-2.273,
2025-12-09,1,124500,아이티센글로벌,KOSDAQ,66.67,9.73,-0.16,19012498305,10114920694,1.88,94.3,12.59,9.18,-8.52,2025-12-10,0.0,0.0,0.0,0.0,no_entry,0.0,3.182,0.0,gap_up_chase_block
2025-12-09,2,100090,SK오션플랜트,KOSPI,66.16,5.1,0.0,22720558595,11871300693,1.91,91.8,7.6,4.81,-39.81,2025-12-10,18970.0,19311.46,18799.27,18799.27,ambiguous_stop_first,-0.9,-1.5,0.053,
2025-12-10,1,042520,한스바이오메드,KOSDAQ,63.89,13.37,-0.24,26711999125,16698807001,1.6,94.9,16.61,12.01,-14.08,2025-12-11,32700.0,33288.6,32405.7,32405.7,ambiguous_stop_first,-0.9,-1.5,0.153,
2025-12-12,1,100090,SK오션플랜트,KOSPI,78.13,6.69,0.74,27834496605,12087001374,2.3,98.3,6.23,5.5,-36.7,2025-12-15,19800.0,20156.4,19621.8,19621.8,ambiguous_stop_first,-0.9,-1.5,-0.702,
2025-12-12,2,001440,대한전선,KOSPI,74.85,7.62,0.74,134671923325,72311008807,1.86,100.0,8.11,7.38,-16.23,2025-12-15,23550.0,23973.9,23338.05,23338.05,ambiguous_stop_first,-0.9,-1.5,-1.875,
2025-12-15,1,049630,재영솔루텍,KOSDAQ,64.98,11.54,-0.17,90525713090,45867078650,1.97,90.4,18.25,15.34,-10.57,2025-12-16,0.0,0.0,0.0,0.0,no_entry,0.0,2.299,0.0,gap_up_chase_block
2025-12-17,1,041510,에스엠,KOSDAQ,70.66,5.82,0.0,31425320800,12801555916,2.45,90.4,5.91,4.97,-22.75,2025-12-18,117900.0,120022.2,116838.9,116838.9,ambiguous_stop_first,-0.9,-1.5,-0.254,
2025-12-19,1,010140,삼성중공업,KOSPI,70.43,6.72,0.48,126389108950,81384798950,1.55,100.0,5.39,5.18,-21.85,2025-12-22,0.0,0.0,0.0,0.0,no_entry,0.0,1.181,0.0,gap_up_chase_block
2025-12-23,1,352820,하이브,KOSPI,62.02,5.02,-0.6,120885350500,65674799362,1.84,91.2,5.02,4.17,-7.55,2025-12-24,321000.0,326778.0,318111.0,323000.0,time_exit,0.623,0.023,-1.079,
2025-12-26,1,298380,에이비엘바이오,KOSDAQ,66.72,6.13,-0.25,327257805600,205681830287,1.59,99.3,8.15,5.85,-9.55,2025-12-29,0.0,0.0,0.0,0.0,no_entry,0.0,2.01,0.0,gap_up_chase_block
2025-12-29,1,035720,카카오,KOSPI,71.11,5.34,-0.54,221563281150,103957845320,2.13,100.0,6.25,6.25,-12.2,2025-12-30,60900.0,61996.2,60351.9,60351.9,stop_loss,-0.9,-1.5,-0.49,
2025-12-29,2,028300,HLB,KOSDAQ,67.39,6.51,0.0,33384442875,18634555339,1.79,95.5,6.86,5.94,-16.44,2025-12-30,48250.0,49118.5,47815.75,49118.5,target_hit,1.8,1.2,-1.631,
2025-12-30,1,006280,녹십자,KOSPI,64.7,6.5,-0.26,21510716300,12174035890,1.77,93.8,8.16,6.28,-7.23,2026-01-02,159200.0,162065.6,157767.2,157767.2,ambiguous_stop_first,-0.9,-1.5,0.126,
2026-01-02,1,058470,리노공업,KOSDAQ,73.94,7.63,0.8,47402257500,25168797189,1.88,97.9,7.81,7.63,-7.68,2026-01-05,0.0,0.0,0.0,0.0,no_entry,0.0,3.236,0.0,gap_up_chase_block
2026-01-02,2,005290,동진쎄미켐,KOSDAQ,72.57,8.19,0.8,38746998525,22554600737,1.72,98.3,8.04,7.74,-16.08,2026-01-05,0.0,0.0,0.0,0.0,no_entry,0.0,3.909,0.0,gap_up_chase_block
2026-01-05,1,417200,LS머트리얼즈,KOSDAQ,71.5,9.98,0.0,21937595440,10019854786,2.19,95.7,6.89,5.89,-13.54,2026-01-06,13500.0,13743.0,13378.5,13378.5,stop_loss,-0.9,-1.5,-1.171,
2026-01-05,2,001440,대한전선,KOSPI,70.81,7.98,0.0,149785200150,64248127286,2.33,92.5,7.76,6.42,-10.3,2026-01-06,0.0,0.0,0.0,0.0,no_entry,0.0,4.864,0.0,gap_up_chase_block
2026-01-06,1,079550,LIG넥스원,KOSPI,74.18,5.66,-0.09,113218910500,51159105029,2.21,100.0,7.49,6.0,-7.82,2026-01-07,490500.0,499329.0,486085.5,499329.0,target_hit,1.8,1.2,-0.909,
2026-01-06,2,329180,HD현대중공업,KOSPI,71.63,7.21,-0.09,218366270000,111530461112,1.96,100.0,5.97,5.57,-14.06,2026-01-07,545000.0,554810.0,540095.0,554810.0,target_hit,1.8,1.2,-0.909,
